#vertex distance parent
592 19.3305 590
593 15.4382 1664
594 11.6073 1486
595 35.2322 624
596 21.1661 536
597 27.8262 1184
598 20.8662 536
599 17.1824 604
600 18.9913 599
601 18.5163 9
602 19.7118 599
603 28.5989 2592
604 15.3164 1968
605 19.8872 599
606 -1 -1
607 -1 -1
608 21.9333 609
609 19.053 887
610 -1 -1
611 20.5386 211
612 20.5386 211
613 19.8857 1555
614 20.2384 211
615 -1 -1
616 15.4394 1958
617 18.2462 618
618 15.86 2216
619 -1 -1
620 -1 -1
621 16.9048 622
622 14.5186 1112
623 28.6026 1895
624 32.6305 370
625 27.6175 2589
626 18.7927 683
627 14.979 700
628 25.6244 162
629 25.6244 162
630 25.8907 631
631 22.1091 626
632 17.0786 427
633 13.3248 638
634 10.7673 1449
635 24.3115 685
636 14.6142 1460
637 15.8085 633
638 10.8412 783
639 10.1487 783
640 16.932 12
641 16.932 12
642 14.5288 168
643 17.2314 12
644 16.6338 12
645 16.932 12
646 17.2314 12
647 22.1469 444
648 16.7309 182
649 17.2052 182
650 16.4333 182
651 22.3519 170
652 17.2052 182
653 16.5114 182
654 17.2052 182
655 16.7253 538
656 21.7881 142
657 28.5908 659
658 31.8961 657
659 25.886 392
660 19.1903 661
661 17.2818 1122
662 21.8952 660
663 21.5954 660
664 -1 -1
665 23.35 2284
666 22.1469 444
667 22.2208 100
668 -1 -1
669 27.5469 499
670 20.8551 301
671 16.865 672
672 13.5597 524
673 22.3519 170
674 25.2975 675
675 22.9113 511
676 21.2984 677
677 18.4693 292
678 -1 -1
679 -1 -1
680 -1 -1
681 20.1326 479
682 18.8678 1801
683 16.9925 2067
684 18.5176 205
685 21.1308 626
686 21.1308 626
687 20.5929 626
688 21.1308 626
689 20.9561 626
690 21.4302 626
691 28.9566 372
692 16.932 160
693 16.7871 1776
694 22.897 157
695 12.2772 249
696 10.547 1449
697 8.55356 1136
698 12.4508 249
699 19.2515 758
700 12.7492 249
701 13.224 249
702 13.224 249
703 27.1551 5
704 18.8589 289
705 19.0749 532
706 24.4353 707
707 21.4304 1283
708 17.6834 627
709 17.2089 627
710 17.0851 627
711 17.0851 627
712 13.428 450
713 17.6834 627
714 17.6834 627
715 24.9458 716
716 22.1167 574
717 26.8415 718
718 23.5361 1098
719 19.8731 178
720 15.9031 721
721 13.5945 450
722 18.2572 720
723 17.2422 2058
724 -1 -1
725 -1 -1
726 18.7365 268
727 22.0418 726
728 18.3766 763
729 18.3264 730
730 15.497 943
731 19.1566 1354
732 23.8923 733
733 20.8084 2036
734 23.1561 735
735 19.3745 2375
736 21.5938 119
737 16.4814 1818
738 -1 -1
739 -1 -1
740 -1 -1
741 20.7793 1765
742 24.2604 741
743 23.2819 744
744 20.2771 1032
745 20.4211 293
746 -1 -1
747 18.6156 751
748 20.5477 747
749 18.3519 861
750 20.6258 747
751 16.7495 926
752 18.054 861
753 17.8028 789
754 24.2509 755
755 21.0703 1365
756 15.1962 7
757 18.2653 758
758 15.7817 1097
759 21.7464 757
760 17.6009 761
761 14.8171 1638
762 18.5957 763
763 16.4898 1776
764 21.9642 765
765 18.8803 420
766 20.3439 126
767 22.1396 768
768 19.7348 1420
769 18.7389 751
770 23.5525 748
771 21.6609 772
772 18.8775 820
773 -1 -1
774 18.414 145
775 17.1234 777
776 20.1282 775
777 14.8933 2014
778 20.3642 1873
779 20.7767 781
780 23.5605 779
781 18.6428 439
782 11.1411 783
783 8.312 523
784 14.0931 255
785 16.4316 784
786 21.0726 245
787 -1 -1
788 17.8028 789
789 15.6391 830
790 20.8076 788
791 18.7151 1369
792 19.9665 788
793 -1 -1
794 20.4131 640
795 22.1469 444
796 25.1973 797
797 22.0167 471
798 10.1487 783
799 15.5139 250
800 34.9556 801
801 31.174 909
802 21.1265 1756
803 20.6113 722
804 19.312 785
805 18.8193 292
806 23.646 809
807 26.4754 806
808 26.9514 806
809 20.8166 508
810 23.0907 107
811 19.4374 812
812 16.4324 622
813 18.5771 789
814 19.4381 650
815 23.3995 816
816 20.0942 1444
817 18.5729 417
818 19.5733 820
819 23.0544 818
820 16.6929 1110
821 19.7778 2116
822 23.0907 107
823 23.0907 107
824 18.4134 358
825 23.0907 107
826 16.239 1520
827 -1 -1
828 23.0907 107
829 23.0907 107
830 13.1764 831
831 10.5681 852
832 22.7174 150
833 21.6212 380
834 23.0155 150
835 21.4661 1352
836 22.7174 150
837 23.0155 150
838 23.0155 150
839 22.7174 150
840 18.901 532
841 25.884 340
842 13.1214 1451
843 24.793 563
844 25.6424 2160
845 17.4798 604
846 16.0592 333
847 19.2399 846
848 6.69454 3
849 8.87455 1082
850 8.576 1082
851 8.62657 848
852 8.59228 848
853 18.5729 417
854 16.742 53
855 15.4757 1276
856 20.223 854
857 22.5662 858
858 19.5614 332
859 21.24 2139
860 20.3522 1927
861 16.0977 1604
862 20.4229 723
863 18.9585 870
864 21.7006 863
865 19.0946 870
866 21.7006 863
867 17.5835 1060
868 20.8618 863
869 19.9665 1420
870 17.1625 1129
871 -1 -1
872 22.9594 873
873 19.6541 1316
874 18.691 205
875 18.6264 1801
876 26.3185 877
877 22.8375 906
878 25.2975 675
879 13.9023 450
880 24.6373 303
881 15.3515 842
882 20.1108 32
883 27.3851 272
884 19.053 887
885 21.9333 884
886 18.268 1305
887 17.2073 2534
888 14.5276 109
889 16.7574 888
890 20.5295 222
891 23.6134 890
892 18.8635 889
893 22.5402 894
894 19.7108 1555
895 22.4657 898
896 25.5496 895
897 25.5496 895
898 20.0782 1312
899 13.0796 942
900 22.6508 170
901 19.2599 902
902 16.5179 381
903 -1 -1
904 -1 -1
905 21.7881 142
906 19.2836 1605
907 22.3675 906
908 35.9615 909
909 33.7681 801
910 23.4319 911
911 20.8516 454
912 22.5755 913
913 20.6569 1960
914 -1 -1
915 -1 -1
916 24.8561 917
917 21.375 998
918 20.8027 919
919 17.7188 2271
920 14.701 109
921 18.1821 920
922 16.9057 761
923 20.5091 1732
924 22.3064 151
925 21.4996 865
926 14.8462 927
927 12.8768 831
928 16.9897 926
929 16.8938 926
930 23.1603 448
931 17.5651 28
932 18.0923 193
933 17.7921 193
934 18.781 855
935 22.9704 936
936 19.8865 972
937 19.4247 939
938 22.2084 937
939 16.8164 1110
940 22.5557 180
941 13.9117 942
942 11.0313 851
943 13.3017 1334
944 19.4271 945
945 16.3432 979
946 22.2449 847
947 24.0517 948
948 21.0469 1404
949 23.1374 681
950 21.1492 1244
951 23.1374 681
952 23.1374 681
953 22.8484 954
954 19.3673 693
955 25.4514 907
956 20.0362 648
957 20.3602 960
958 19.4879 661
959 22.5663 957
960 18.3284 1516
961 22.8653 957
962 22.5663 957
963 19.6917 870
964 22.5663 957
965 22.5663 957
966 22.392 957
967 19.4117 970
968 22.02 967
969 19.7415 1845
970 17.2778 183
971 15.1962 7
972 17.7979 973
973 15.9109 1317
974 17.5356 1887
975 20.1242 293
976 19.8865 972
977 18.4131 2031
978 11.8551 1815
979 14.2092 978
980 14.56 978
981 25.2532 982
982 21.7721 57
983 30.6638 984
984 27.1827 1300
985 23.2618 986
986 20.6814 351
987 26.0552 1089
988 18.445 991
989 21.7504 988
990 17.706 2292
991 16.0909 979
992 33.0066 993
993 29.8259 1582
994 36.4877 992
995 17.8256 616
996 16.0108 997
997 14.124 583
998 18.4947 996
999 22.902 1989
1000 14.4563 255
1001 18.7945 996
1002 12.779 1004
1003 16.2601 1002
1004 10.6161 2203
1005 27.2723 1282
1006 28.1844 1923
1007 21.9647 768
1008 23.5652 2610
1009 18.0398 28
1010 20.0574 61
1011 19.9493 126
1012 22.5201 1010
1013 21.9706 57
1014 21.7944 1416
1015 14.2284 522
1016 -1 -1
1017 21.1603 728
1018 22.3519 170
1019 19.5747 178
1020 -1 -1
1021 -1 -1
1022 20.9226 222
1023 21.4522 487
1024 27.3833 1025
1025 24.2026 490
1026 21.799 791
1027 24.0629 188
1028 20.432 415
1029 18.6528 573
1030 18.1795 573
1031 18.4778 573
1032 18.1134 573
1033 14.1589 255
1034 18.9526 573
1035 -1 -1
1036 16.0224 255
1037 -1 -1
1038 -1 -1
1039 -1 -1
1040 -1 -1
1041 17.0773 381
1042 20.3826 1041
1043 -1 -1
1044 24.1521 1160
1045 18.5729 417
1046 21.8481 444
1047 24.7285 1046
1048 18.5729 417
1049 24.7213 1051
1050 28.2023 1049
1051 21.8409 768
1052 21.2984 677
1053 17.0786 427
1054 22.072 1055
1055 19.0672 2144
1056 20.0395 2249
1057 19.0309 2024
1058 15.1063 695
1059 15.1063 695
1060 14.2666 695
1061 -1 -1
1062 14.8065 695
1063 14.5073 695
1064 21.8159 1065
1065 18.0343 197
1066 28.5227 317
1067 28.8163 336
1068 22.5227 1011
1069 -1 -1
1070 17.7401 28
1071 22.9246 172
1072 18.7554 2514
1073 24.7511 1074
1074 21.7462 2033
1075 -1 -1
1076 -1 -1
1077 22.3581 1078
1078 20.4057 2184
1079 19.0749 532
1080 8.87455 1082
1081 11.4039 1080
1082 6.52045 3
1083 18.8319 1084
1084 15.6512 1276
1085 16.865 672
1086 20.2365 1091
1087 21.9251 75
1088 23.1745 1086
1089 22.8745 1086
1090 23.1745 1086
1091 17.7738 618
1092 22.6993 1086
1093 -1 -1
1094 -1 -1
1095 15.1962 7
1096 23.5361 1098
1097 13.945 198
1098 21.182 1029
1099 32.8921 1100
1100 29.411 1387
1101 21.503 1102
1102 17.7214 2279
1103 32.6305 370
1104 16.4324 622
1105 16.4393 979
1106 19.7377 1104
1107 23.0429 1108
1108 20.7048 280
1109 -1 -1
1110 14.7106 1112
1111 17.2903 1110
1112 12.6048 1004
1113 16.5974 1110
1114 17.2903 1110
1115 16.6929 1110
1116 21.9748 865
1117 17.8256 616
1118 14.7025 168
1119 25.2975 675
1120 16.3096 622
1121 19.0951 661
1122 15.3733 943
1123 18.1821 1124
1124 14.701 109
1125 19.2099 268
1126 20.9238 486
1127 18.9927 439
1128 23.7318 911
1129 15.107 927
1130 17.8117 1129
1131 18.1118 1129
1132 18.1774 861
1133 20.2092 1132
1134 -1 -1
1135 -1 -1
1136 6.57095 3
1137 20.5404 974
1138 22.5714 364
1139 20.1023 1140
1140 17.4642 2276
1141 17.609 2276
1142 20.4211 293
1143 20.4211 293
1144 27.7152 843
1145 16.4742 1097
1146 20.4211 293
1147 -1 -1
1148 20.4211 293
1149 20.1242 293
1150 20.4211 293
1151 20.4211 293
1152 12.6323 798
1153 20.4211 293
1154 19.8303 494
1155 20.4211 293
1156 20.4211 293
1157 18.3936 1333
1158 20.4211 293
1159 18.5729 417
1160 21.2717 600
1161 21.2717 600
1162 18.5179 268
1163 20.5659 1975
1164 22.0863 1166
1165 20.7377 2547
1166 19.6236 1500
1167 22.6822 1169
1168 26.1633 1167
1169 19.6772 2119
1170 18.7365 268
1171 17.4945 194
1172 21.7881 142
1173 24.6003 663
1174 21.3699 146
1175 24.8509 1174
1176 21.8687 117
1177 16.5904 449
1178 16.2902 449
1179 15.9505 842
1180 27.1551 5
1181 17.9259 183
1182 15.204 1968
1183 28.1262 1184
1184 25.246 1763
1185 18.5729 417
1186 22.1469 444
1187 16.3687 1190
1188 19.3737 1187
1189 19.3737 1187
1190 13.5393 2073
1191 21.5937 977
1192 22.511 1193
1193 19.2056 1113
1194 -1 -1
1195 19.9861 419
1196 21.921 380
1197 18.691 205
1198 21.594 824
1199 28.5652 1200
1200 25.0842 10
1201 16.2991 1097
1202 18.8285 1201
1203 25.1977 122
1204 28.503 1203
1205 21.5138 17
1206 16.7385 979
1207 20.2196 1206
1208 -1 -1
1209 20.6681 1783
1210 14.1087 1081
1211 13.9333 1081
1212 14.4088 1081
1213 14.4088 1081
1214 -1 -1
1215 -1 -1
1216 19.3734 532
1217 -1 -1
1218 -1 -1
1219 24.6835 667
1220 24.8588 667
1221 -1 -1
1222 -1 -1
1223 34.3273 1224
1224 31.0219 2282
1225 20.8118 440
1226 18.3519 861
1227 23.5215 809
1228 26.7021 1227
1229 26.7021 1227
1230 -1 -1
1231 -1 -1
1232 18.5729 417
1233 -1 -1
1234 -1 -1
1235 15.1962 7
1236 -1 -1
1237 22.2616 1166
1238 19.3683 302
1239 22.4651 574
1240 22.1167 574
1241 20.3911 722
1242 18.054 861
1243 21.4491 1244
1244 18.5689 1801
1245 21.2843 534
1246 21.5842 534
1247 17.3561 604
1248 21.2843 534
1249 27.3327 1044
1250 32.6305 370
1251 32.6305 370
1252 32.6305 370
1253 32.6305 370
1254 32.6305 370
1255 32.6305 370
1256 18.1549 1257
1257 15.9832 1210
1258 18.1549 1257
1259 25.1708 496
1260 35.7389 1261
1261 31.9574 2441
1262 17.4405 480
1263 -1 -1
1264 18.8382 314
1265 18.5382 314
1266 25.8509 1267
1267 22.6702 936
1268 29.247 1269
1269 25.9416 276
1270 19.401 178
1271 19.3536 2348
1272 18.767 1273
1273 15.6831 721
1274 21.5787 472
1275 15.8817 927
1276 12.7709 378
1277 22.1469 444
1278 21.49 142
1279 24.9711 1278
1280 24.4954 1281
1281 21.0143 1130
1282 24.9458 1240
1283 18.901 532
1284 20.9226 222
1285 18.8635 889
1286 16.8568 381
1287 -1 -1
1288 -1 -1
1289 11.0073 1080
1290 21.7963 407
1291 24.0309 247
1292 21.9503 1917
1293 29.247 1269
1294 -1 -1
1295 -1 -1
1296 25.2361 1508
1297 25.4514 907
1298 21.2973 1055
1299 22.0314 588
1300 24.0021 1298
1301 19.988 1500
1302 24.3021 1298
1303 22.1469 444
1304 19.3416 1305
1305 16.2578 190
1306 13.617 1307
1307 10.7876 852
1308 21.7881 142
1309 26.1954 298
1310 23.3578 1311
1311 19.5762 292
1312 17.8935 973
1313 16.8306 1818
1314 18.791 973
1315 18.791 973
1316 16.3606 538
1317 13.3307 696
1318 22.8978 1319
1319 19.7171 2375
1320 17.8354 194
1321 19.6183 1322
1322 17.3111 1507
1323 16.0789 1097
1324 18.0891 1323
1325 18.8627 1323
1326 18.8627 1323
1327 19.1931 302
1328 19.6305 683
1329 23.1116 1328
1330 17.0786 427
1331 19.9723 1332
1332 17.268 1461
1333 15.1962 7
1334 11.4039 849
1335 25.0932 563
1336 -1 -1
1337 16.2578 190
1338 22.609 1456
1339 21.1965 731
1340 21.4857 1535
1341 18.9728 1351
1342 23.2819 744
1343 19.3734 532
1344 -1 -1
1345 22.1789 1121
1346 19.401 178
1347 -1 -1
1348 20.5298 61
1349 21.752 487
1350 20.6326 1732
1351 16.7882 1063
1352 18.8281 1351
1353 -1 -1
1354 17.1167 604
1355 20.0547 1354
1356 20.0547 1354
1357 19.4552 1354
1358 21.9835 663
1359 15.3733 943
1360 24.3208 1274
1361 21.5016 1362
1362 18.321 991
1363 25.6009 1364
1364 22.2956 1437
1365 18.7895 751
1366 20.4064 1864
1367 -1 -1
1368 -1 -1
1369 16.5304 1371
1370 19.1106 1369
1371 13.9502 1451
1372 19.9369 1171
1373 19.9369 1171
1374 19.6381 1171
1375 19.4079 361
1376 -1 -1
1377 20.9238 486
1378 21.2234 486
1379 20.0574 61
1380 21.2234 486
1381 21.2234 486
1382 23.0538 578
1383 21.0863 722
1384 21.8687 117
1385 -1 -1
1386 -1 -1
1387 26.2303 665
1388 28.7663 659
1389 19.4417 1390
1390 16.9124 1063
1391 17.6706 1392
1392 15.0623 1515
1393 20.6756 1391
1394 23.0233 1395
1395 19.718 2287
1396 16.0781 721
1397 22.241 1133
1398 23.8042 1377
1399 22.8731 913
1400 22.7931 804
1401 25.7224 298
1402 22.5755 913
1403 18.9891 205
1404 18.5175 205
1405 18.691 205
1406 18.5175 205
1407 18.9891 205
1408 18.9891 205
1409 18.9891 205
1410 25.8562 1411
1411 22.5508 957
1412 -1 -1
1413 -1 -1
1414 -1 -1
1415 22.373 576
1416 18.419 1418
1417 -1 -1
1418 16.0649 1646
1419 17.5424 789
1420 17.8028 789
1421 18.1018 789
1422 -1 -1
1423 -1 -1
1424 22.897 157
1425 27.5712 51
1426 22.8492 1142
1427 23.5643 689
1428 24.3022 1429
1429 21.2973 1055
1430 21.2807 351
1431 19.4428 1432
1432 17.0727 1866
1433 19.4247 1434
1434 16.2441 1190
1435 19.2813 929
1436 17.0786 427
1437 18.901 532
1438 20.3439 126
1439 18.7301 929
1440 20.9596 1439
1441 20.9596 1439
1442 28.8163 336
1443 20.5701 1444
