#vertex distance parent
641 18.7569 178
642 14.5288 168
643 19.2701 12
644 18.6725 12
645 18.9707 12
646 19.2701 12
647 18.273 444
648 20.1731 182
649 20.6474 182
650 19.7035 895
651 18.5779 170
652 20.6474 182
653 16.8568 381
654 20.6474 182
655 16.1311 538
656 22.5181 142
657 27.1494 659
658 30.4547 657
659 24.4446 392
660 16.7454 661
661 14.8369 1121
662 19.4503 660
663 19.1505 660
664 -1 -1
665 -1 -1
666 18.273 444
667 25.1892 707
668 30.5154 499
669 30.5154 499
670 30.5154 499
671 16.865 672
672 13.5597 524
673 18.5779 170
674 16.9942 675
675 14.608 1478
676 21.2984 677
677 18.4693 292
678 -1 -1
679 -1 -1
680 -1 -1
681 19.505 479
682 18.8425 1518
683 16.8451 973
684 16.9339 887
685 17.6047 635
686 20.9835 626
687 20.4456 626
688 20.9835 626
689 20.8087 626
690 21.2829 626
691 -1 -1
692 11.6809 693
693 8.80074 338
694 26.9958 157
695 12.2772 249
696 10.547 1449
697 8.55356 1136
698 12.4508 249
699 13.224 249
700 12.7492 249
701 13.224 249
702 13.224 249
703 17.135 5
704 23.1023 289
705 19.2415 48
706 26.0304 707
707 23.0256 1763
708 17.6834 627
709 17.1418 406
710 17.0851 627
711 17.0851 627
712 15.3331 2269
713 17.6834 627
714 17.6834 627
715 23.9243 716
716 21.0952 574
717 22.7906 718
718 19.4853 1098
719 19.0553 178
720 19.7026 478
721 17.6922 805
722 22.0567 720
723 23.3591 862
724 -1 -1
725 -1 -1
726 17.2109 728
727 20.5162 726
728 14.6026 763
729 18.3264 730
730 15.497 943
731 19.1566 1354
732 23.8923 733
733 20.8084 2036
734 -1 -1
735 -1 -1
736 21.111 119
737 15.9986 2215
738 -1 -1
739 -1 -1
740 21.2217 222
741 -1 -1
742 -1 -1
743 20.6684 744
744 17.6635 1341
745 16.5791 293
746 17.6185 150
747 18.6156 751
748 20.5477 747
749 18.3519 861
750 20.6258 747
751 16.7495 926
752 18.054 861
753 17.8028 789
754 24.2509 755
755 21.0703 1365
756 17.122 7
757 13.0699 758
758 10.5863 850
759 16.551 757
760 17.6009 761
761 14.8171 1638
762 14.8217 763
763 12.7159 1776
764 19.2857 765
765 16.2018 136
766 16.6522 126
767 19.9638 768
768 17.559 1480
769 18.7389 751
770 23.5525 748
771 21.6609 772
772 18.8775 820
773 21.352 774
774 18.414 145
775 12.5965 758
776 15.6014 775
777 14.8267 775
778 -1 -1
779 17.641 781
780 20.4247 779
781 15.5071 439
782 11.1411 783
783 8.312 523
784 14.0931 255
785 16.4316 784
786 23.3145 382
787 19.6902 212
788 17.8028 789
789 15.6391 830
790 20.8076 788
791 18.2412 1369
792 16.1135 126
793 20.5075 788
794 22.4518 640
795 18.273 444
796 25.0007 797
797 21.8201 1301
798 10.1487 783
799 15.5139 250
800 -1 -1
801 -1 -1
802 27.7161 803
803 24.4108 722
804 19.312 785
805 15.5076 1121
806 23.1722 809
807 26.0015 806
808 26.4775 806
809 20.3428 508
810 20.7425 107
811 19.3899 812
812 16.3849 622
813 18.5771 789
814 22.7083 650
815 23.7532 816
816 20.4479 1444
817 -1 -1
818 19.5733 820
819 23.0544 818
820 16.6929 1110
821 10.0498 337
822 20.7425 107
823 20.7425 107
824 18.9339 358
825 20.7425 107
826 16.239 1520
827 20.7425 107
828 20.7425 107
829 20.7425 107
830 13.1764 831
831 10.5681 852
832 13.3307 696
833 17.3205 150
834 17.6185 150
835 17.3205 150
836 17.3205 150
837 17.6185 150
838 17.6185 150
839 15.8074 2159
840 17.1471 150
841 18.5321 340
842 13.1214 1451
843 21.5686 844
844 18.3879 2160
845 17.4798 604
846 16.0592 333
847 19.2399 846
848 6.69454 3
849 8.87455 1082
850 8.576 1082
851 8.62657 848
852 8.59228 848
853 -1 -1
854 18.4807 855
855 15.4757 1276
856 21.9618 854
857 22.5662 858
858 19.5614 332
859 -1 -1
860 -1 -1
861 16.0977 1604
862 20.1784 895
863 18.9585 870
864 21.7006 863
865 19.0946 870
866 21.7006 863
867 21.7006 863
868 20.8618 863
869 19.9665 1420
870 17.1625 1129
871 19.2522 145
872 22.1023 873
873 18.797 1324
874 18.691 205
875 18.4332 1324
876 27.2948 877
877 23.8137 689
878 16.9942 675
879 16.9046 450
880 24.6373 303
881 15.3515 842
882 19.5863 32
883 27.3851 272
884 13.1195 886
885 15.9999 884
886 11.0135 1305
887 14.9652 884
888 14.5276 109
889 16.7574 888
890 20.5295 222
891 23.6134 890
892 18.8635 889
893 22.5402 894
894 19.7108 1555
895 17.3947 898
896 20.4786 895
897 20.4786 895
898 15.0073 1312
899 -1 -1
900 18.8769 170
901 19.2599 902
902 16.5179 381
903 -1 -1
904 -1 -1
905 22.5181 142
906 -1 -1
907 -1 -1
908 30.7734 909
909 28.58 1584
910 19.6879 911
911 17.1077 404
912 26.684 913
913 24.7654 1402
914 24.7493 1736
915 27.8331 914
916 24.8561 917
917 21.375 998
918 14.0693 919
919 10.9854 693
920 14.701 109
921 18.1821 920
922 16.9057 761
923 17.4062 403
924 22.3064 151
925 21.4996 865
926 14.8462 927
927 12.8768 831
928 16.9897 926
929 16.8938 926
930 19.9122 448
931 17.6166 193
932 18.0923 193
933 17.7921 193
934 18.781 855
935 21.8647 936
936 18.7808 972
937 18.1853 170
938 16.9482 1650
939 16.8164 1110
940 22.5557 180
941 13.9117 942
942 11.0313 851
943 13.3017 1334
944 22.3936 945
945 19.3097 979
946 21.6443 172
947 23.2034 948
948 20.1986 441
949 22.5099 681
950 21.1492 1244
951 22.5099 681
952 22.5099 681
953 14.862 954
954 11.381 693
955 -1 -1
956 23.4784 648
957 19.2491 958
958 17.043 661
959 21.4553 957
960 18.3284 1516
961 21.7543 957
962 21.4553 957
963 19.6917 870
964 21.4553 957
965 21.4553 957
966 17.4254 761
967 19.1768 969
968 21.7851 967
969 16.6929 1110
970 17.2778 183
971 17.122 7
972 16.6922 973
973 14.8052 1312
974 18.7025 972
975 16.2823 293
976 18.7808 972
977 18.4131 2031
978 14.8217 763
979 17.1758 978
980 14.9136 1638
981 25.2532 982
982 21.7721 57
983 30.6638 984
984 27.1827 1300
985 22.6676 986
986 20.0872 351
987 23.5087 1089
988 20.5354 990
989 23.8407 988
990 17.706 2292
991 19.0575 979
992 31.9352 993
993 28.7546 1582
994 35.4163 992
995 17.8256 616
996 16.0108 997
997 14.124 583
998 18.4947 996
999 18.7945 996
1000 14.4563 255
1001 18.7945 996
1002 12.779 1004
1003 16.2601 1002
1004 10.6161 2203
1005 -1 -1
1006 -1 -1
1007 19.7889 768
1008 18.9633 2610
1009 18.9196 28
1010 14.8455 1011
1011 12.2373 798
1012 17.3083 1010
1013 18.0911 898
1014 18.5779 170
1015 14.2284 522
1016 14.2284 522
1017 17.3864 728
1018 18.5779 170
1019 18.7569 178
1020 24.9079 1021
1021 21.7273 1861
1022 20.9226 222
1023 19.1996 487
1024 27.3833 1025
1025 24.2026 490
1026 21.3251 791
1027 24.0629 188
1028 20.432 415
1029 18.6528 573
1030 18.1795 573
1031 18.4615 1369
1032 17.597 1341
1033 14.1589 255
1034 18.9526 573
1035 18.9526 573
1036 18.9526 573
1037 -1 -1
1038 -1 -1
1039 -1 -1
1040 18.273 444
1041 17.0773 381
1042 20.3826 1041
1043 25.1475 1044
1044 22.2671 1160
1045 -1 -1
1046 17.9742 444
1047 20.8546 1046
1048 -1 -1
1049 22.5454 1051
1050 26.0265 1049
1051 19.6651 768
1052 21.2984 677
1053 -1 -1
1054 22.072 1055
1055 19.0672 2144
1056 20.8842 1030
1057 22.9387 1056
1058 15.1063 695
1059 15.1063 695
1060 14.2666 695
1061 14.8065 695
1062 14.8065 695
1063 14.5073 695
1064 -1 -1
1065 -1 -1
1066 28.3754 317
1067 -1 -1
1068 20.5868 923
1069 -1 -1
1070 18.6199 28
1071 22.119 172
1072 17.2333 2514
1073 17.4966 1074
1074 14.4918 2033
1075 -1 -1
1076 -1 -1
1077 -1 -1
1078 -1 -1
1079 21.0006 532
1080 8.87455 1082
1081 11.4039 1080
1082 6.52045 3
1083 18.8319 1084
1084 15.6512 1276
1085 16.865 672
1086 17.69 881
1087 17.3983 75
1088 20.628 1086
1089 20.328 1086
1090 20.628 1086
