Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00     6470     0.00     0.00  void std::allocator_traits<std::allocator<std::pair<int, double> > >::construct<std::pair<int, double>, int&, double&>(std::allocator<std::pair<int, double> >&, std::pair<int, double>*, int&, double&)
  0.00      0.00     0.00     6470     0.00     0.00  std::pair<int, double>::pair<int&, double&, true>(int&, double&)
  0.00      0.00     0.00     6470     0.00     0.00  std::pair<int, double>& std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > >::emplace_back<int&, double&>(int&, double&)
  0.00      0.00     0.00     6470     0.00     0.00  std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > >::back()
  0.00      0.00     0.00     6191     0.00     0.00  std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > >::begin()
  0.00      0.00     0.00     6045     0.00     0.00  std::remove_reference<std::pair<int, double>&>::type&& std::move<std::pair<int, double>&>(std::pair<int, double>&)
  0.00      0.00     0.00     6035     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.00     0.00     6024     0.00     0.00  __gnu_cxx::__normal_iterator<std::tuple<int, int, double>*, std::vector<std::tuple<int, int, double>, std::allocator<std::tuple<int, int, double> > > >::base() const
  0.00      0.00     0.00     5998     0.00     0.00  __gnu_cxx::__normal_iterator<std::tuple<int, int, double>*, std::vector<std::tuple<int, int, double>, std::allocator<std::tuple<int, int, double> > > >::__normal_iterator(std::tuple<int, int, double>* const&)
  0.00      0.00     0.00     5970     0.00     0.00  __gnu_cxx::__normal_iterator<std::tuple<int, int, double>*, std::vector<std::tuple<int, int, double>, std::allocator<std::tuple<int, int, double> > > >::operator*() const
  0.00      0.00     0.00     5970     0.00     0.00  bool __gnu_cxx::__ops::_Iter_less_iter::operator()<int const*, int const*>(int const*, int const*) const
  0.00      0.00     0.00     5970     0.00     0.00  std::initializer_list<int>::begin() const
  0.00      0.00     0.00     5750     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::size() const
  0.00      0.00     0.00     5235     0.00     0.00  __gnu_cxx::new_allocator<std::pair<int, double> >::~new_allocator()
  0.00      0.00     0.00     5235     0.00     0.00  std::allocator<std::pair<int, double> >::~allocator()
  0.00      0.00     0.00     5234     0.00     0.00  __gnu_cxx::new_allocator<std::pair<int, double> >::new_allocator(__gnu_cxx::new_allocator<std::pair<int, double> > const&)
  0.00      0.00     0.00     5234     0.00     0.00  std::allocator<std::pair<int, double> >::allocator(std::allocator<std::pair<int, double> > const&)
  0.00      0.00     0.00     5234     0.00     0.00  std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > >* std::__addressof<std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > > >(std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > >&)
  0.00      0.00     0.00     5234     0.00     0.00  std::vector<int, std::allocator<int> >* std::__addressof<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >&)
  0.00      0.00     0.00     5191     0.00     0.00  __gnu_cxx::new_allocator<std::pair<int, double> >::deallocate(std::pair<int, double>*, unsigned long)
  0.00      0.00     0.00     5191     0.00     0.00  __gnu_cxx::new_allocator<std::pair<int, double> >::allocate(unsigned long, void const*)
  0.00      0.00     0.00     5191     0.00     0.00  std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > >::_M_check_len(unsigned long, char const*) const
  0.00      0.00     0.00     5191     0.00     0.00  std::allocator_traits<std::allocator<std::pair<int, double> > >::deallocate(std::allocator<std::pair<int, double> >&, std::pair<int, double>*, unsigned long)
  0.00      0.00     0.00     5191     0.00     0.00  std::allocator_traits<std::allocator<std::pair<int, double> > >::allocate(std::allocator<std::pair<int, double> >&, unsigned long)
  0.00      0.00     0.00     5191     0.00     0.00  void std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > >::_M_realloc_insert<int&, double&>(__gnu_cxx::__normal_iterator<std::pair<int, double>*, std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > > >, int&, double&)
  0.00      0.00     0.00     5142     0.00     0.00  __gnu_cxx::new_allocator<int>::_M_max_size() const
  0.00      0.00     0.00     5012     0.00     0.00  void __gnu_cxx::new_allocator<std::pair<int, double> >::destroy<std::pair<int, double> >(std::pair<int, double>*)
  0.00      0.00     0.00     5012     0.00     0.00  void __gnu_cxx::new_allocator<std::pair<int, double> >::construct<std::pair<int, double>, std::pair<int, double> >(std::pair<int, double>*, std::pair<int, double>&&)
  0.00      0.00     0.00     5012     0.00     0.00  void std::allocator_traits<std::allocator<std::pair<int, double> > >::destroy<std::pair<int, double> >(std::allocator<std::pair<int, double> >&, std::pair<int, double>*)
  0.00      0.00     0.00     5012     0.00     0.00  void std::allocator_traits<std::allocator<std::pair<int, double> > >::construct<std::pair<int, double>, std::pair<int, double> >(std::allocator<std::pair<int, double> >&, std::pair<int, double>*, std::pair<int, double>&&)
  0.00      0.00     0.00     5012     0.00     0.00  void std::__relocate_object_a<std::pair<int, double>, std::pair<int, double>, std::allocator<std::pair<int, double> > >(std::pair<int, double>*, std::pair<int, double>*, std::allocator<std::pair<int, double> >&)
  0.00      0.00     0.00     5000     0.00     0.00  __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::base() const
  0.00      0.00     0.00     4560     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.00     0.00     4326     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      0.00     0.00     4250     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* std::__addressof<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
  0.00      0.00     0.00     4095     0.00     0.00  void __gnu_cxx::new_allocator<std::tuple<int, int, double> >::destroy<std::tuple<int, int, double> >(std::tuple<int, int, double>*)
  0.00      0.00     0.00     4095     0.00     0.00  void __gnu_cxx::new_allocator<std::tuple<int, int, double> >::construct<std::tuple<int, int, double>, std::tuple<int, int, double> >(std::tuple<int, int, double>*, std::tuple<int, int, double>&&)
  0.00      0.00     0.00     4095     0.00     0.00  std::_Tuple_impl<0ul, int, int, double>::_Tuple_impl(std::_Tuple_impl<0ul, int, int, double>&&)
  0.00      0.00     0.00     4095     0.00     0.00  std::_Tuple_impl<1ul, int, double>::_Tuple_impl(std::_Tuple_impl<1ul, int, double>&&)
  0.00      0.00     0.00     4095     0.00     0.00  std::_Tuple_impl<2ul, double>::_Tuple_impl(std::_Tuple_impl<2ul, double>&&)
  0.00      0.00     0.00     4095     0.00     0.00  void std::allocator_traits<std::allocator<std::tuple<int, int, double> > >::destroy<std::tuple<int, int, double> >(std::allocator<std::tuple<int, int, double> >&, std::tuple<int, int, double>*)
  0.00      0.00     0.00     4095     0.00     0.00  void std::allocator_traits<std::allocator<std::tuple<int, int, double> > >::construct<std::tuple<int, int, double>, std::tuple<int, int, double> >(std::allocator<std::tuple<int, int, double> >&, std::tuple<int, int, double>*, std::tuple<int, int, double>&&)
  0.00      0.00     0.00     4095     0.00     0.00  std::tuple<int, int, double>::tuple(std::tuple<int, int, double>&&)
  0.00      0.00     0.00     4095     0.00     0.00  void std::__relocate_object_a<std::tuple<int, int, double>, std::tuple<int, int, double>, std::allocator<std::tuple<int, int, double> > >(std::tuple<int, int, double>*, std::tuple<int, int, double>*, std::allocator<std::tuple<int, int, double> >&)
  0.00      0.00     0.00     4095     0.00     0.00  std::remove_reference<std::tuple<int, int, double>&>::type&& std::move<std::tuple<int, int, double>&>(std::tuple<int, int, double>&)
  0.00      0.00     0.00     3750     0.00     0.00  __gnu_cxx::new_allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::_M_max_size() const
  0.00      0.00     0.00     3750     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const& std::forward<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&>(std::remove_reference<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&>::type&)
  0.00      0.00     0.00     3442     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<int, double>*, std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > > >::operator++()
  0.00      0.00     0.00     3424     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00      0.00     0.00     3424     0.00     0.00  std::allocator_traits<std::allocator<int> >::max_size(std::allocator<int> const&)
  0.00      0.00     0.00     3415     0.00     0.00  std::vector<int, std::allocator<int> >::_S_max_size(std::allocator<int> const&)
  0.00      0.00     0.00     3414     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      0.00     0.00     3414     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      0.00     0.00     3414     0.00     0.00  std::vector<int, std::allocator<int> >::max_size() const
  0.00      0.00     0.00     3414     0.00     0.00  std::vector<int, std::allocator<int> >::_S_relocate(int*, int*, int*, std::allocator<int>&)
  0.00      0.00     0.00     3414     0.00     0.00  std::vector<int, std::allocator<int> >::_S_do_relocate(int*, int*, int*, std::allocator<int>&, std::integral_constant<bool, true>)
  0.00      0.00     0.00     3414     0.00     0.00  int* std::__relocate_a<int*, int*, std::allocator<int> >(int*, int*, int*, std::allocator<int>&)
  0.00      0.00     0.00     3414     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<int, void>::value, int*>::type std::__relocate_a_1<int, int>(int*, int*, int*, std::allocator<int>&)
  0.00      0.00     0.00     3378     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int const&>(int*, int const&)
  0.00      0.00     0.00     3378     0.00     0.00  void std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&)
  0.00      0.00     0.00     3118     0.00     0.00  void std::_Destroy_aux<true>::__destroy<std::pair<int, double>*>(std::pair<int, double>*, std::pair<int, double>*)
  0.00      0.00     0.00     3118     0.00     0.00  void std::_Destroy<std::pair<int, double>*>(std::pair<int, double>*, std::pair<int, double>*)
  0.00      0.00     0.00     3118     0.00     0.00  void std::_Destroy<std::pair<int, double>*, std::pair<int, double> >(std::pair<int, double>*, std::pair<int, double>*, std::allocator<std::pair<int, double> >&)
